response_number,merged_theme,merged_theme_label,old_theme,quote
51,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
52,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,I would prefer meditating to gain calmness and increase my mental focus and application.
53,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,An audio speech with ambient music
54,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Just something that tells me what to do regarding my schedule as well as a motivative sentence or phrase to get me through the day.
54,encouraging_support,Encouraging support,encouragement_reassurance,Just something that tells me what to do regarding my schedule as well as a motivative sentence or phrase to get me through the day.
55,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Relaxing my self and  Identify what I need to do in this day, start with difficult tasks when I get tired I do easy tasks for the day."
55,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Relaxing my self and  Identify what I need to do in this day, start with difficult tasks when I get tired I do easy tasks for the day."
55,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"Relaxing my self and  Identify what I need to do in this day, start with difficult tasks when I get tired I do easy tasks for the day."
56,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,Listening to someone speaking aloud so I can do it while I complete tasks and visualise myself following it
56,concrete_day_task_rehearsal,Concrete day/task rehearsal,task_visualization,Listening to someone speaking aloud so I can do it while I complete tasks and visualise myself following it
57,short_low_load,"Short, low-load format",brevity_adaptive_load,I think a short and a steady script that can begin with a breath and body grounding
57,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,I think a short and a steady script that can begin with a breath and body grounding
58,encouraging_support,Encouraging support,encouragement_reassurance,"I often say that everything happens for the sake of good, so even if you think you made a bad decision, one good thing would probably come from it, and you'd be thankful that you chose this decision for that one thing."
58,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"I often say that everything happens for the sake of good, so even if you think you made a bad decision, one good thing would probably come from it, and you'd be thankful that you chose this decision for that one thing."
59,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
59,encouraging_support,Encouraging support,encouragement_reassurance,"My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
59,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
59,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,"My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
60,short_low_load,"Short, low-load format",brevity_adaptive_load,"Adaptive in the level of support, background noise and length - long guides on low energy days might be hard to sit through; clear and encouraging, focusing more on being inspiring than overly detailed."
60,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,"Adaptive in the level of support, background noise and length - long guides on low energy days might be hard to sit through; clear and encouraging, focusing more on being inspiring than overly detailed."
60,encouraging_support,Encouraging support,encouragement_reassurance,"Adaptive in the level of support, background noise and length - long guides on low energy days might be hard to sit through; clear and encouraging, focusing more on being inspiring than overly detailed."
61,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"A calm place and I would let my body just get used to the routine, I think it would make everything ok"
61,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,"A calm place and I would let my body just get used to the routine, I think it would make everything ok"
62,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Reading and writing about my day and schedule
62,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,Reading and writing about my day and schedule
63,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Something that starts with body/mind presence meditation and then works into specific tasks for the day, ending with overarching goal/mantra reminder."
63,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Something that starts with body/mind presence meditation and then works into specific tasks for the day, ending with overarching goal/mantra reminder."
63,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,"Something that starts with body/mind presence meditation and then works into specific tasks for the day, ending with overarching goal/mantra reminder."
64,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Everything is planned out entirely, step- by step to keep me on track. I feel encouraged and motivated to start the day that I have outlined ahead. Mentally and physically I am in a good position to move forward with my day."
64,encouraging_support,Encouraging support,encouragement_reassurance,"Everything is planned out entirely, step- by step to keep me on track. I feel encouraged and motivated to start the day that I have outlined ahead. Mentally and physically I am in a good position to move forward with my day."
64,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Everything is planned out entirely, step- by step to keep me on track. I feel encouraged and motivated to start the day that I have outlined ahead. Mentally and physically I am in a good position to move forward with my day."
