response_number,theme,theme_label,quote
11,task_visualization,Task/success visualization,"Myself standing in front of the mirror, looking myself deep into my eyes and rehearsing all the tasks I have for the day."
11,structured_day_planning,Structured day planning,"Myself standing in front of the mirror, looking myself deep into my eyes and rehearsing all the tasks I have for the day."
12,brevity_adaptive_load,Brevity and adaptive load,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,calm_grounding,Calm grounding,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,structured_day_planning,Structured day planning,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,task_visualization,Task/success visualization,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,obstacle_coping,Obstacle coping,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,encouragement_reassurance,Encouragement and reassurance,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
13,calm_grounding,Calm grounding,"Start by noticing my body, senses, surroundings, and breathing.  Then move generally in to the tasks for the day.  Finally, returning to the body and breathing."
13,structured_day_planning,Structured day planning,"Start by noticing my body, senses, surroundings, and breathing.  Then move generally in to the tasks for the day.  Finally, returning to the body and breathing."
14,encouragement_reassurance,Encouragement and reassurance,validation and reassurance
15,morning_ritual,Morning ritual integration,Warm up exercise
16,audio_ambience,"Audio, voice, and ambience",an ideal rehearsal would be an ambient  background noise while  reading through some guidance .
16,structured_day_planning,Structured day planning,an ideal rehearsal would be an ambient  background noise while  reading through some guidance .
17,low_information,Low-information / unclear,"I do not have any practical experience with this, so I can't share an opinion on this."
18,morning_ritual,Morning ritual integration,"I don't have any, I usually start of my day with a morning prayer and move on with the rest of my day. I would say I would equate this to when I meditate that when I will go on to my soft playing music and meditate"
18,calm_grounding,Calm grounding,"I don't have any, I usually start of my day with a morning prayer and move on with the rest of my day. I would say I would equate this to when I meditate that when I will go on to my soft playing music and meditate"
18,audio_ambience,"Audio, voice, and ambience","I don't have any, I usually start of my day with a morning prayer and move on with the rest of my day. I would say I would equate this to when I meditate that when I will go on to my soft playing music and meditate"
19,structured_day_planning,Structured day planning,taking a moment to reflect on what the day has for me
19,values_purpose,"Values, purpose, and mantra",taking a moment to reflect on what the day has for me
20,audio_ambience,"Audio, voice, and ambience",In an open space.
21,morning_ritual,Morning ritual integration,"Meditation, followed by exercise, then showering, then doing my normal duties for the day"
21,calm_grounding,Calm grounding,"Meditation, followed by exercise, then showering, then doing my normal duties for the day"
21,structured_day_planning,Structured day planning,"Meditation, followed by exercise, then showering, then doing my normal duties for the day"
22,morning_ritual,Morning ritual integration,Doing exercises before the guidance
23,brevity_adaptive_load,Brevity and adaptive load,"Set the tone before touching anything else, run a 60.second reel and end with a body cue"
23,calm_grounding,Calm grounding,"Set the tone before touching anything else, run a 60.second reel and end with a body cue"
23,structured_day_planning,Structured day planning,"Set the tone before touching anything else, run a 60.second reel and end with a body cue"
24,structured_day_planning,Structured day planning,Step by step guidance
25,low_information,Low-information / unclear,My mental rehasals guide is not working on my side and everything is
26,audio_ambience,"Audio, voice, and ambience","A sound of calm music or rain sound to start my day would be perfect, with a little sunshine shining through the window with a view of the garden with beautiful flowers with different colours"
26,calm_grounding,Calm grounding,"A sound of calm music or rain sound to start my day would be perfect, with a little sunshine shining through the window with a view of the garden with beautiful flowers with different colours"
27,encouragement_reassurance,Encouragement and reassurance,Having a good script that motivates and uplifts
28,calm_grounding,Calm grounding,Breathing in and out
29,structured_day_planning,Structured day planning,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
29,calm_grounding,Calm grounding,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
30,calm_grounding,Calm grounding,"Take few seconds to check in with your body and be honest about the energy you’ve got today. Then picture one task getting done well enough to move on, and leave yourself with a simple line to come back to when you start."
30,task_visualization,Task/success visualization,"Take few seconds to check in with your body and be honest about the energy you’ve got today. Then picture one task getting done well enough to move on, and leave yourself with a simple line to come back to when you start."
30,brevity_adaptive_load,Brevity and adaptive load,"Take few seconds to check in with your body and be honest about the energy you’ve got today. Then picture one task getting done well enough to move on, and leave yourself with a simple line to come back to when you start."
31,encouragement_reassurance,Encouragement and reassurance,If it will be an encouraging voice with soft sounds
31,audio_ambience,"Audio, voice, and ambience",If it will be an encouraging voice with soft sounds
32,calm_grounding,Calm grounding,Because the mind controls your body so if the mind is relaxing your body will relax too.
33,audio_ambience,"Audio, voice, and ambience",Audio guided
34,calm_grounding,Calm grounding,"CALM,AND START WITH BREATHING"
34,brevity_adaptive_load,Brevity and adaptive load,"CALM,AND START WITH BREATHING"
35,structured_day_planning,Structured day planning,I talk about the day ahead and how it is going to go to myself. It helps me focus and understand time and how to spend it.
36,audio_ambience,"Audio, voice, and ambience","Having to start the day with an audio message that reminds me of the activities I'm going to do, and then when I'm free being able to read that audio in writing."
36,structured_day_planning,Structured day planning,"Having to start the day with an audio message that reminds me of the activities I'm going to do, and then when I'm free being able to read that audio in writing."
37,calm_grounding,Calm grounding,Medidation for 30 - 40 minutes making everything clear in my mind.
38,values_purpose,"Values, purpose, and mantra",Remember what matters
39,calm_grounding,Calm grounding,something that focuses on helping me to set a calm and clear intention for the day is a win for me
39,values_purpose,"Values, purpose, and mantra",something that focuses on helping me to set a calm and clear intention for the day is a win for me
40,calm_grounding,Calm grounding,"A calm moment, whether it is music or a sermon."
40,audio_ambience,"Audio, voice, and ambience","A calm moment, whether it is music or a sermon."
40,morning_ritual,Morning ritual integration,"A calm moment, whether it is music or a sermon."
41,brevity_adaptive_load,Brevity and adaptive load,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
41,task_visualization,Task/success visualization,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
41,structured_day_planning,Structured day planning,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
42,encouragement_reassurance,Encouragement and reassurance,"You will have a good day , if it gets to hard for you , get a time out , when you come back again the situation might not seem as hard as before . Just remember you are bigger than whatever you will face."
42,obstacle_coping,Obstacle coping,"You will have a good day , if it gets to hard for you , get a time out , when you come back again the situation might not seem as hard as before . Just remember you are bigger than whatever you will face."
43,morning_ritual,Morning ritual integration,Reading a book
44,morning_ritual,Morning ritual integration,"I think prayer, and a cup of coffee to mentally prepare myself for the day."
44,calm_grounding,Calm grounding,"I think prayer, and a cup of coffee to mentally prepare myself for the day."
45,structured_day_planning,Structured day planning,Breaking down the day into steps that are easy to follow to prevent feeling overwhelmed.
45,obstacle_coping,Obstacle coping,Breaking down the day into steps that are easy to follow to prevent feeling overwhelmed.
46,encouragement_reassurance,Encouragement and reassurance,"You are enough,  focused and very hard working. You make decisions that produces positive outcomes and that is enough for all the days."
47,structured_day_planning,Structured day planning,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
47,obstacle_coping,Obstacle coping,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
47,encouragement_reassurance,Encouragement and reassurance,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
48,encouragement_reassurance,Encouragement and reassurance,Encouragement or a question on how I would like my day to go
48,structured_day_planning,Structured day planning,Encouragement or a question on how I would like my day to go
49,calm_grounding,Calm grounding,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
49,structured_day_planning,Structured day planning,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
49,obstacle_coping,Obstacle coping,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
49,task_visualization,Task/success visualization,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
49,values_purpose,"Values, purpose, and mantra","My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
50,structured_day_planning,Structured day planning,Laying out my tasks for the day. Ordering them in terms of priority. Allowing for disruptions and giving myself enough options.
50,obstacle_coping,Obstacle coping,Laying out my tasks for the day. Ordering them in terms of priority. Allowing for disruptions and giving myself enough options.
51,values_purpose,"Values, purpose, and mantra","Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
51,structured_day_planning,Structured day planning,"Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
51,obstacle_coping,Obstacle coping,"Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
51,calm_grounding,Calm grounding,"Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
52,calm_grounding,Calm grounding,I would prefer meditating to gain calmness and increase my mental focus and application.
53,audio_ambience,"Audio, voice, and ambience",An audio speech with ambient music
54,structured_day_planning,Structured day planning,Just something that tells me what to do regarding my schedule as well as a motivative sentence or phrase to get me through the day.
54,encouragement_reassurance,Encouragement and reassurance,Just something that tells me what to do regarding my schedule as well as a motivative sentence or phrase to get me through the day.
55,calm_grounding,Calm grounding,"Relaxing my self and  Identify what I need to do in this day, start with difficult tasks when I get tired I do easy tasks for the day."
55,structured_day_planning,Structured day planning,"Relaxing my self and  Identify what I need to do in this day, start with difficult tasks when I get tired I do easy tasks for the day."
55,obstacle_coping,Obstacle coping,"Relaxing my self and  Identify what I need to do in this day, start with difficult tasks when I get tired I do easy tasks for the day."
56,audio_ambience,"Audio, voice, and ambience",Listening to someone speaking aloud so I can do it while I complete tasks and visualise myself following it
56,task_visualization,Task/success visualization,Listening to someone speaking aloud so I can do it while I complete tasks and visualise myself following it
57,brevity_adaptive_load,Brevity and adaptive load,I think a short and a steady script that can begin with a breath and body grounding
57,calm_grounding,Calm grounding,I think a short and a steady script that can begin with a breath and body grounding
58,encouragement_reassurance,Encouragement and reassurance,"I often say that everything happens for the sake of good, so even if you think you made a bad decision, one good thing would probably come from it, and you'd be thankful that you chose this decision for that one thing."
58,obstacle_coping,Obstacle coping,"I often say that everything happens for the sake of good, so even if you think you made a bad decision, one good thing would probably come from it, and you'd be thankful that you chose this decision for that one thing."
59,structured_day_planning,Structured day planning,"My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
59,encouragement_reassurance,Encouragement and reassurance,"My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
59,obstacle_coping,Obstacle coping,"My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
59,values_purpose,"Values, purpose, and mantra","My ideal mental rehearsal would help me start the day with clarity, purpose, and confidence. 

It includes a brief review of my priorities, encouragement to stay focused on what I can control, reminders of my strengths, and motivation to approach challenges with a positive mindset."
60,brevity_adaptive_load,Brevity and adaptive load,"Adaptive in the level of support, background noise and length - long guides on low energy days might be hard to sit through; clear and encouraging, focusing more on being inspiring than overly detailed."
60,audio_ambience,"Audio, voice, and ambience","Adaptive in the level of support, background noise and length - long guides on low energy days might be hard to sit through; clear and encouraging, focusing more on being inspiring than overly detailed."
60,encouragement_reassurance,Encouragement and reassurance,"Adaptive in the level of support, background noise and length - long guides on low energy days might be hard to sit through; clear and encouraging, focusing more on being inspiring than overly detailed."
61,calm_grounding,Calm grounding,"A calm place and I would let my body just get used to the routine, I think it would make everything ok"
61,morning_ritual,Morning ritual integration,"A calm place and I would let my body just get used to the routine, I think it would make everything ok"
62,structured_day_planning,Structured day planning,Reading and writing about my day and schedule
62,morning_ritual,Morning ritual integration,Reading and writing about my day and schedule
63,calm_grounding,Calm grounding,"Something that starts with body/mind presence meditation and then works into specific tasks for the day, ending with overarching goal/mantra reminder."
63,structured_day_planning,Structured day planning,"Something that starts with body/mind presence meditation and then works into specific tasks for the day, ending with overarching goal/mantra reminder."
63,values_purpose,"Values, purpose, and mantra","Something that starts with body/mind presence meditation and then works into specific tasks for the day, ending with overarching goal/mantra reminder."
64,structured_day_planning,Structured day planning,"Everything is planned out entirely, step- by step to keep me on track. I feel encouraged and motivated to start the day that I have outlined ahead. Mentally and physically I am in a good position to move forward with my day."
64,encouragement_reassurance,Encouragement and reassurance,"Everything is planned out entirely, step- by step to keep me on track. I feel encouraged and motivated to start the day that I have outlined ahead. Mentally and physically I am in a good position to move forward with my day."
64,calm_grounding,Calm grounding,"Everything is planned out entirely, step- by step to keep me on track. I feel encouraged and motivated to start the day that I have outlined ahead. Mentally and physically I am in a good position to move forward with my day."
